id	role_id	lane	title	org	location	site	url	posted	first_seen	salary	level	status	friction	also_lanes	accessibility
JM-TWO-navypier-deo	operations-safety	OPS	Director of Event Operations	Oak View Group (Navy Pier Events Facility)	Chicago, IL	TWO	https://www.teamworkonline.com/arenas-facilities-jobs/oakview-group-/ovg-corporate/director-of-events-operations-full-time-navy-pier-events-facility-2175786	2026-08-06	2026-08-06	$114,000-134,000	senior	gone	direct		
JM-TSJ-eno-opm	operations-safety	OPS	Operations & Planning Manager	English National Opera	Manchester/London, UK	TSJ	https://jobs.thestage.co.uk/career/31780/operations-planning-manager	2026-07-28	2026-08-04	Up to £45,000/yr	senior	gone	direct		
JM-PB-lct-lct3-tm	operations-safety	OPS	Theater Manager LCT3/Claire Tow Theater	Lincoln Center Theater	New York, NY	PB	https://playbill.com/job/theater-manager-lct3-claire-tow-theater-at-lincoln-center-theater/03c9f3ac-e909-47a3-95c2-1f7c360752f8	2026-07-29	2026-08-04	$68,848-82,000	mid	live	direct		
JM-PB-westside-om	operations-safety	OPS	Operations Manager	Reno Productions, Inc. dba Westside Theatre	New York, NY	PB	https://playbill.com/job/operations-manager/5b69fbe4-07af-4676-9c34-6f378e6112b2	2026-08-01	2026-08-04	$68,900/yr	mid	live	direct		
JM-PB-signature-afm	operations-safety	OPS	Assistant Facilities Manager	Signature Theatre	New York, NY	PB	https://playbill.com/job/assistant-facilities-manager/96175117-0869-402b-9183-9f8768015b90	2026-07-30	2026-08-06	$66,300-68,300	mid	live	direct		
JM-PB-lct-amtof	operations-safety	OPS	Assistant Manager of Theater Operations and Facilities	Lincoln Center Theater	New York, NY	PB	https://playbill.com/job/assistant-manager-of-theater-operations-facilities-at-lincoln-center-theater/59b367be-c56b-4131-9db6-3941048646c7	2026-06-30	2026-08-04		associate	live	direct		
JM-PB-studio-asd	operations-safety	OPS	Audience Services Director	Studio Theatre	Washington, DC	PB	https://playbill.com/job/audience-services-director/f9e1ad48-fc99-4af4-bd2d-51683c38dba2	2026-07-09	2026-08-06		mid	live	direct		
JM-OSJ-leyden-tom	operations-safety	OPS	Theater Operations Manager	Leyden High School District 212 - Leyden Theatre	Franklin Park, IL	OSJ	https://staging.offstagejobs.com/jobdetail.php?jobID=72180	2026-07-28	2026-08-06	$35/hr	mid	live	email		
JM-TWO-rcrc-fom	operations-safety	OPS	Facility Operations Manager	Legends Global (Raising Cane's River Center)	Baton Rouge, LA	TWO	https://www.teamworkonline.com/arenas-facilities-jobs/asm-global-jobs/asm-global-jobs/facility-operations-manager-raising-caine-s-river-center-2172867	2026-08-06	2026-08-06		mid	live	direct		
JM-OSJ-pbd-hm	operations-safety	OPS	House Manager (Part-Time)	Palm Beach Dramaworks	West Palm Beach, FL	OSJ	https://staging.offstagejobs.com/jobdetail.php?jobID=72399	2026-07-24	2026-08-06	$20/hr	entry	live	direct		
